Application GUID,Competition domain,Application GUID +competition domain,Application #,Participant First name,Participant Last name,Participant Organization,OverallScoreRank,OverallScoreRankNormalized,SumOfScores,SumOfScoresNormalized,AnonymousJudgeName,TraitScore,TraitScoreNormalized,TraitJudgeComment,Trait,TraitDescription,OverallImpressionScore,OverallImpressionScoreNormalized
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 2,4.4,4.4,Usually out lose box technology its ever unit. Financial decide but structure carry. Drug argue rule pull.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0298,0.0298
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 1,3.7,3.7,Shake live thought situation beat evidence. Source artist popular deal page. Letter chair buy many against. Suffer population sing remember past.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0792,0.0792
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 10,4.7,4.7,Try consider discuss room painting raise check compare. Start amount election author age gun. Condition bed drop effort.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.041,0.041
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 8,3.3,3.3,Large result exist month. Example even many probably. Congress admit record.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.0583,0.0583
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 13,3.3,3.3,Town stand character prevent significant no. Control choice result moment soldier message.,IMPACTFUL,"Will the project, if successfully implemented, significantly improve economic opportunity for the targeted population over the long-term? Does approach meaningfully remediate barriers to economic opportunity for the targeted location(s) or population?",0.078,0.078
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 16,1.5,1.5,Move base maintain people. Me after within.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0358,0.0358
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 6,2.6,2.6,Successful knowledge can thought without customer price. Support tree prevent operation successful carry. Hear summer people indicate.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0319,0.0319
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 4,1.7,1.7,Mind computer election newspaper yourself standard away. Important hand upon memory back personal value.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0487,0.0487
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 1,3.3,3.3,Group news coach west commercial sea help window. Think same key clearly.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0022,0.0022
B45DEF87-9012-4347-A3F2-E303D883F19A,testdomain,B45DEF87-9012-4347-A3F2-E303D883F19Atestdomain,2,Paul,Williams,Davidson-Meyer,202,202,52.5,52.5,Judge 16,4.6,4.6,President deal cold window industry American. Treatment response site crime. To job economy civil job a.,EVIDENCE-BASED,"Does the team successfully present strong evidence that the proposed strategy is effective, inclusive, and has previously demonstrated compelling results?",0.0051,0.0051
